ID,Name,Category,Cooldown,Description
34,Bloodbath,Ability,900,"Converts 25% of physical damage dealt into HP.<br><Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),20))><If(Equal(PlayerParameter(68),3))>30<Else/><If(Equal(PlayerParameter(68),21))>30<Else/>15</If></If><Else/>15</If>s"
35,Skull Sunder,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Heavy Swing</Color><br><Color(52258)>Combo Potency:</Color> 200<If(GreaterThanOrEqualTo(PlayerParameter(72),30))><If(Equal(PlayerParameter(68),21))><If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><Color(52258)>Defiance/Deliverance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10<Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/></If><Else/></If>"
36,Mercy Stroke,Ability,900,"Delivers an attack with a potency of 200.<br>Can only be executed when target's HP is below 20%.<br>If delivered as the killing blow, up to 20% of your maximum HP will be restored."
37,Maim,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Heavy Swing</Color><br><Color(52258)>Combo Potency:</Color> 190<br><Color(52258)>Combo Bonus:</Color> Reduces target's slashing resistance by 10%<br><Color(52258)>Duration:</Color> 24s<If(GreaterThanOrEqualTo(PlayerParameter(72),30))><If(Equal(PlayerParameter(68),21))><If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><Color(52258)>Defiance/Deliverance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10<Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/></If><Else/></If>"
38,Berserk,Ability,600,Increases attack power by 30%.<br><Color(52258)>Duration:</Color> 20s
39,Brutal Swing,Ability,200,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),3))>5<Else/><If(Equal(PlayerParameter(68),21))>5<Else/>3</If></If><Else/>3</If>s<If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),3))> (PvP 3s)<Else/><If(Equal(PlayerParameter(68),21))> (PvP 3s)<Else/></If></If><Else/></If>"
40,Thrill of Battle,Ability,1200,Increases maximum HP by 20% and restores the amount increased.<br><Color(52258)>Duration:</Color> 20s
41,Overpower,Weaponskill,25,Delivers an attack with a potency of 120 to all enemies in a cone before you.<br><Color(52258)>Additional Effect:</Color> Increased enmity
42,Storm's Path,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Maim</Color><br><Color(52258)>Combo Potency:</Color> 250<br><Color(52258)>Combo Bonus:</Color> Absorbs a portion of damage dealt as HP<If(GreaterThanOrEqualTo(PlayerParameter(72),30))><If(Equal(PlayerParameter(68),21))><If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><Color(52258)>Defiance/Deliverance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 20<Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 20</If><Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 20</If><Else/></If><Else/></If>"
43,Holmgang,Ability,1800,"Draws target towards caster, and binds both.<br><Color(52258)>Duration:</Color> 6s<br>Most attacks cannot reduce your HP to less than 1."
44,Vengeance,Ability,1200,Reduces damage taken by 30% and delivers an attack with a potency of 50 every time you suffer physical damage.<br><Color(52258)>Duration:</Color> 15s
45,Storm's Eye,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Maim</Color><br><Color(52258)>Combo Potency:</Color> 270<br><Color(52258)>Combo Bonus:</Color> Increases damage dealt by 20%<br><Color(52258)>Duration:</Color> 30s<If(GreaterThanOrEqualTo(PlayerParameter(72),30))><If(Equal(PlayerParameter(68),21))><If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><Color(52258)>Defiance/Deliverance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10<Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/></If><Else/></If>"
46,Tomahawk,Weaponskill,25,Delivers a ranged attack with a potency of 130.<br><Color(52258)>Additional Effect:</Color> Increased enmity
47,Butcher's Block,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Skull Sunder</Color><br><Color(52258)>Combo Potency:</Color> 280<If(GreaterThanOrEqualTo(PlayerParameter(72),30))><If(Equal(PlayerParameter(68),21))><If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><Color(52258)>Defiance/Deliverance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10<Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/><br><Color(52258)>Defiance Combo Bonus:</Color> Increases <Color(-34022)>Beast Gauge</Color> by 10</If><Else/></If><Else/></If>"
48,Defiance,Ability,100,"Increases maximum HP by 25%, while reducing damage dealt by 20% and increasing enmity. Increases own HP recovery via healing magic by 20%.<br>Effect ends upon reuse.<br><br>Using certain actions while under the effect of <Color(-154)>Defiance</Color> will increase your <Color(-34022)>Beast Gauge</Color>, increasing parry rate to a maximum of 10%. The <Color(-34022)>Beast Gauge</Color> returns to 0 when <Color(-154)>Defiance</Color> ends.<If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><br><br>Cannot be used with <Color(-34022)>Deliverance</Color>.<br>If <Color(-34022)>Deliverance</Color> is executed while under the effect of <Color(-154)>Defiance</Color>, the <Color(-34022)>Beast Gauge</Color> is halved.<br><br>Shares a recast timer with <Color(-34022)>Deliverance</Color>.<Else/></If><Else/></If>"
49,Inner Beast,Weaponskill,25,Delivers an attack with a potency of 350.<br>Ignores the damage penalty inflicted by <Color(-154)>Defiance</Color>.<br>Can only be executed while under the effect of <Color(-154)>Defiance</Color>.<br><Color(52258)>Additional Effect:</Color> Absorbs a portion of damage dealt as HP<br><Color(52258)>Additional Effect:</Color> Reduces damage taken by 20%<br><Color(52258)>Duration: </Color>6s<br><Color(52258)>Beast Gauge Cost:</Color> 50
50,Unchained,Ability,1200,"Nullifies the damage penalty inflicted by <Color(-154)>Defiance</Color>.<br><Color(52258)>Duration:</Color> 20s<br>Can only be executed while under the effect of <Color(-154)>Defiance</Color>. Effect is canceled if <Color(-154)>Defiance</Color> ends.<br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),21))>Shares a recast timer with <Color(-34022)>Inner Release</Color>.<br><Else/></If><Else/></If><Color(52258)>Beast Gauge Cost:</Color> 20"
51,Steel Cyclone,Weaponskill,25,Delivers an attack with a potency of 200 to all nearby enemies.<br>Ignores the damage penalty inflicted by <Color(-154)>Defiance</Color>.<br>Can only be executed while under the effect of <Color(-154)>Defiance</Color>.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Beast Gauge Cost:</Color> 50
52,Infuriate,Ability,600,"Increases <Color(-34022)>Beast Gauge</Color> by 50 when <If(GreaterThanOrEqualTo(PlayerParameter(72),52))><If(Equal(PlayerParameter(68),21))><Color(-154)>Defiance</Color> or <Color(-154)>Deliverance</Color> is active.<Else/><Color(-154)>Defiance</Color> is active.</If><Else/><Color(-154)>Defiance</Color> is active.</If><br>Can only be executed while in combat."
53,Bootshine,Weaponskill,25,Delivers an attack with a potency of 140.<br><Color(52258)>Opo-opo Form Bonus:</Color> Critical damage if dealt from a target's rear<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>raptor</Color><br><Color(52258)>Duration:</Color> 10s
54,True Strike,Weaponskill,25,"Delivers an attack with a potency of 140.
180 when executed from a target's rear.<br>Can only be executed when in <Color(-154)>raptor</Color> form.<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>coeurl</Color><br><Color(52258)>Duration:</Color> 10s"
55,Featherfoot,Ability,900,"Increases evasion by <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),2))>20<Else/><If(Equal(PlayerParameter(68),20))>20<Else/>12</If></If><Else/>12</If>%.<br><Color(52258)>Duration:</Color> 15s"
56,Snap Punch,Weaponskill,25,"Delivers an attack with a potency of 130.
170 when executed from a target's flank.<br>Can only be executed when in <Color(-154)>coeurl</Color> form.<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>opo-opo</Color><br><Color(52258)>Duration:</Color> 10s<br><Color(52258)>Additional Effect:</Color> Grants <Color(-154)>Greased Lightning</Color><br><Color(52258)>Duration:</Color> 16s<br><Color(52258)>Greased Lightning Bonus:</Color> Increases damage dealt by 10% and reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 5%"
57,Second Wind,Ability,1200,"Instantly restores own HP.<br><Color(52258)>Cure Potency:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),2))>650<Else/><If(Equal(PlayerParameter(68),20))>650<Else/>450</If></If><Else/>450</If><br>Cure potency varies with current attack power."
58,Haymaker,Weaponskill,25,Delivers an attack with a potency of 170.<br>Can only be executed immediately after evading an attack.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Slow</Color> +20%<br><Color(52258)>Duration:</Color> 12s
59,Internal Release,Ability,600,Increases critical hit rate by 30%.<br><Color(52258)>Duration:</Color> 15s
60,Fists of Earth,Ability,30,"Reduces damage taken by 10%.<br>Cannot be used with <Color(-34022)>Fists of Fire</Color> or <Color(-34022)>Fists of Wind</Color>, and shares recast timer with both.<br>Effect ends upon reuse."
61,Twin Snakes,Weaponskill,25,"Delivers an attack with a potency of 100.
130 when executed from a target's flank.<br>Can only be executed when in <Color(-154)>raptor</Color> form.<br><Color(52258)>Additional Effect:</Color> Increases damage by 10%<br><Color(52258)>Duration:</Color> 15s<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>coeurl</Color><br><Color(52258)>Duration:</Color> 10s"
62,Arm of the Destroyer,Weaponskill,25,Delivers an attack with a potency of 50 to all nearby targets.<br><Color(52258)>Opo-opo Form Bonus:</Color> <Color(-154)>Silence</Color><br><Color(52258)>Duration:</Color> 1s<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>raptor</Color><br><Color(52258)>Duration:</Color> 10s
63,Fists of Fire,Ability,30,"Increases damage dealt by 5%.<br>Cannot be used with <Color(-34022)>Fists of Earth</Color> or <Color(-34022)>Fists of Wind</Color>, and shares recast timer with both.<br>Effect ends upon reuse."
64,Steel Peak,Ability,400,Delivers an attack with a potency of 150.
65,Mantra,Ability,1200,Increases HP recovery via healing magic by 20% for self and nearby party members.<br><Color(52258)>Duration:</Color> 15s
66,Demolish,Weaponskill,25,"Delivers an attack with a potency of 30.
70 when executed from a target's rear.<br>Can only be executed when in <Color(-154)>coeurl</Color> form.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 50<br><Color(52258)>Duration:</Color> 18s<Color(52258)><br>Additional Effect:</Color> Changes form to <Color(-154)>opo-opo</Color><br><Color(52258)>Duration:</Color> 10s<br><Color(52258)>Additional Effect:</Color> Grants <Color(-154)>Greased Lightning</Color><br><Color(52258)>Duration:</Color> 16s<br><Color(52258)>Greased Lightning Bonus:</Color> Increases damage dealt by 10% and reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 5%"
67,Howling Fist,Ability,600,Delivers an attack with a potency of 210 to all enemies in a straight line before you.
68,Touch of Death,Weaponskill,25,Delivers an attack with a potency of 20.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 25<br><Color(52258)>Duration:</Color> 30s
69,Perfect Balance,Ability,1800,"Allows execution of weaponskills which require a certain form, without being in that form.<br><Color(52258)>Duration:</Color> 10s"
70,Rockbreaker,Weaponskill,25,"Delivers an attack with a potency of 130 to all enemies in a cone before you.<br>Can only be executed when in <Color(-154)>coeurl</Color> form.<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>opo-opo</Color><br><Color(52258)>Duration:</Color> 10s<br><Color(52258)>Additional Effect:</Color> Grants <Color(-154)>Greased Lightning</Color><br><Color(52258)>Duration:</Color> 16s<br><Color(52258)>Greased Lightning Bonus:</Color> Increases damage dealt by 10% and reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 5%"
71,Shoulder Tackle,Ability,300,Rushes target and delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 2s<br>Cannot be executed while bound.
72,One Ilm Punch,Weaponskill,25,Delivers an attack with a potency of 120.<br>Can only be executed when in <Color(-154)>raptor</Color> form.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 1s<br><Color(-154)>Stun</Color> is impervious to stun nullifying effects.<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>coeurl</Color><br><Color(52258)>Duration:</Color> 10s
73,Fists of Wind,Ability,30,"Increases movement speed.<br>Cannot be used with <Color(-34022)>Fists of Earth</Color> or <Color(-34022)>Fists of Fire</Color>, and shares recast timer with both.<br>Effect ends upon reuse."
74,Dragon Kick,Weaponskill,25,"Delivers an attack with a potency of 100.
140 when executed from a target's flank.<br><Color(52258)>Opo-opo Form Bonus:</Color> Reduces target's blunt resistance by 10%<br><Color(52258)>Duration:</Color> 15s<br><Color(52258)>Additional Effect:</Color> Changes form to <Color(-154)>raptor</Color><br><Color(52258)>Duration:</Color> 10s"
75,True Thrust,Weaponskill,25,Delivers an attack with a potency of 150.
76,Feint,Weaponskill,25,"Delivers an attack with a potency of 120.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Slow</Color> +20%<br><Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),4))>20<Else/><If(Equal(PlayerParameter(68),22))>20<Else/>10</If></If><Else/>10</If>s (PvP <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),4))>10<Else/><If(Equal(PlayerParameter(68),22))>10<Else/>6</If></If><Else/>6</If>s)"
77,Keen Flurry,Ability,900,"Increases parry rate by <If(GreaterThanOrEqualTo(PlayerParameter(72),20))><If(Equal(PlayerParameter(68),4))>80<Else/><If(Equal(PlayerParameter(68),22))>80<Else/>40</If></If><Else/>40</If>%.<br><Color(52258)>Duration:</Color> 20s"
78,Vorpal Thrust,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>True Thrust</Color><br><Color(52258)>Combo Potency:</Color> 240
79,Heavy Thrust,Weaponskill,25,"Delivers an attack with a potency of 100.
180 when executed from a target's flank.<br><Color(52258)>Additional Effect:</Color> Increases damage dealt by 15%<br><Color(52258)>Duration:</Color> 30s"
80,Invigorate,Ability,1200,"Instantly restores <If(GreaterThanOrEqualTo(PlayerParameter(72),36))><If(Equal(PlayerParameter(68),4))>500<Else/><If(Equal(PlayerParameter(68),22))>500<Else/>400</If></If><Else/>400</If> TP."
81,Impulse Drive,Weaponskill,25,Delivers an attack with a potency of 190.
82,Leg Sweep,Ability,300,Delivers an attack with a potency of 130.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 3s (PvP 2s)
83,Life Surge,Ability,500,"Ensures critical damage for first weaponskill used while <Color(-34022)>Life Surge</Color> is active. Damage dealt will be absorbed as HP, up to 10% of maximum HP.<br><Color(52258)>Duration:</Color> 10s"
84,Full Thrust,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Vorpal Thrust</Color><br><Color(52258)>Combo Potency:</Color> 440<If(GreaterThanOrEqualTo(PlayerParameter(72),56))><If(Equal(PlayerParameter(68),22))><br><Color(52258)>Blood of the Dragon Combo Bonus:</Color> Grants <Color(-154)>Sharper Fang and Claw</Color><br><Color(52258)>Duration:</Color> 10s<Else/></If><Else/></If>"
85,Blood for Blood,Ability,800,Increases damage dealt by 15% and damage suffered by 10%.<br><Color(52258)>Duration:</Color> 20s
86,Doom Spike,Weaponskill,25,Delivers an attack with a potency of 130 to all enemies in a straight line before you.
87,Disembowel,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Impulse Drive</Color><br><Color(52258)>Combo Potency:</Color> 230<br><Color(52258)>Combo Bonus:</Color> Reduces target's piercing resistance by 5%<br><Color(52258)>Duration:</Color> 30s
88,Chaos Thrust,Weaponskill,25,"Delivers an attack with a potency of 100.
150 when executed from a target's rear.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Disembowel</Color><br><Color(52258)>Combo Potency:</Color> 220<br><Color(52258)>Rear Combo Potency:</Color> 270<br><Color(52258)>Combo Bonus:</Color> Damage over time<br><Color(52258)>Potency:</Color> 35<br><Color(52258)>Duration:</Color> 30s<If(GreaterThanOrEqualTo(PlayerParameter(72),58))><If(Equal(PlayerParameter(68),22))><br><Color(52258)>Blood of the Dragon Combo Bonus: </Color>Grants <Color(-154)>Enhanced Wheeling Thrust</Color><br><Color(52258)>Duration:</Color> 10s<Else/></If><Else/></If>"
89,Ring of Thorns,Weaponskill,25,Delivers an attack with a potency of 100 to all nearby enemies.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Heavy Thrust</Color><br><Color(52258)>Combo Potency:</Color> 150
90,Piercing Talon,Weaponskill,25,Delivers a ranged attack with a potency of 120.
91,Phlebotomize,Weaponskill,25,Delivers an attack with a potency of 170.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 30<br><Color(52258)>Duration:</Color> 24s
92,Jump,Ability,300,"Delivers a jumping attack with a potency of 250. Returns you to your original position after the attack is made.<br><If(GreaterThanOrEqualTo(PlayerParameter(72),68))><If(Equal(PlayerParameter(68),22))><Color(52258)>Additional Effect: </Color>Grants <Color(-154)>Dive Ready</Color><br><Color(52258)>Duration: </Color>15s<br><Else/></If><Else/></If>Cannot be executed while bound."
93,Power Surge,Ability,600,Increases the damage dealt by a single <Color(-34022)>Jump</Color> or <Color(-34022)>Spineshatter Dive</Color> by 50%.<br><Color(52258)>Duration:</Color> 10s
94,Elusive Jump,Ability,600,"Executes a jump to a location 15 yalms behind you, while removing any <Color(-154)>Heavy</Color> or <Color(-154)>Bind</Color> effects.<br><Color(52258)>Additional Effect:</Color> Reduces enmity by half"
95,Spineshatter Dive,Ability,600,"Delivers a jumping attack with a potency of 200.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 2s<br><If(GreaterThanOrEqualTo(PlayerParameter(72),68))><If(Equal(PlayerParameter(68),22))><Color(52258)>Additional Effect: </Color>Grants <Color(-154)>Dive Ready</Color><br><Color(52258)>Duration: </Color>15s<br><Else/></If><Else/></If>Cannot be executed while bound."
96,Dragonfire Dive,Ability,1200,Delivers a jumping fire-based attack with a potency of 300 to all nearby enemies. Cannot be executed while bound.
97,Heavy Shot,Weaponskill,25,"Delivers an attack with a potency of 150.<If(GreaterThanOrEqualTo(PlayerParameter(72),8))><If(Equal(PlayerParameter(68),5))><br><Color(52258)>Additional Effect:</Color> 20% chance next <Color(-34022)>Straight Shot</Color> will deal critical damage<br><Color(52258)>Duration:</Color> 10s<Else/><If(Equal(PlayerParameter(68),23))><br><Color(52258)>Additional Effect:</Color> 20% chance next <Color(-34022)>Straight Shot</Color> will deal critical damage<br><Color(52258)>Duration:</Color> 10s<Else/></If></If><Else/></If>"
98,Straight Shot,Weaponskill,25,Delivers an attack with a potency of 140.<br><Color(52258)>Additional Effect:</Color> Increases critical hit rate by 10%<br><Color(52258)>Duration:</Color> 20s
99,Hawk's Eye,Ability,900,Increases DEX by 15% and guarantees that all attacks land.<br><Color(52258)>Duration:</Color> 20s
100,Venomous Bite,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Venom</Color><br><Color(52258)>Potency:</Color> 40<br><Color(52258)>Duration:</Color> 18s
101,Raging Strikes,Ability,800,Increases damage dealt by 10%.<br><Color(52258)>Duration:</Color> 20s
102,Flaming Arrow,Ability,600,"Sets the ground ablaze, dealing damage with a potency of 40 to any enemies who enter the flames.<br><Color(52258)>Duration:</Color> 30s"
103,Misery's End,Ability,120,Delivers an attack with a potency of 190.<br>Can only be executed when target's HP is below 20%.
104,Quelling Strikes,Ability,1200,Reduces enmity generation.<br><Color(52258)>Duration:</Color> 15s
105,Swiftsong,Spell,25,Increases movement speed of self and nearby party members as long as they remain within hearing distance. Effect ends upon reuse or when enmity is generated. Cannot be used in battle or with other songs.
106,Quick Nock,Weaponskill,25,Delivers an attack with a potency of 110 to all enemies in a cone before you.
107,Barrage,Ability,900,Triples the number of strikes for a single-target weaponskill. Additional effects added only once.<br><Color(52258)>Duration:</Color> 10s
108,Shadowbind,Ability,400,Binds target.<br><Color(52258)>Duration:</Color> 10s<br>Cancels auto-attack upon execution.<br>Target unbound if damage taken.
109,Blunt Arrow,Ability,300,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Silence</Color><br><Color(52258)>Duration:</Color> 1s
110,Bloodletter,Ability,150,"Delivers an attack with a potency of 130.<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),23))><br>Shares a recast timer with <Color(-34022)>Rain of Death</Color>.<Else/></If><Else/></If>"
111,Wide Volley,Weaponskill,25,Delivers an attack with a potency of 110 to target and all enemies nearby it.
112,Repelling Shot,Ability,300,Jump 10 yalms back from current position. Cannot be executed while bound.
113,Windbite,Weaponskill,25,Deals wind damage with a potency of 60.<br><Color(52258)>Additional Effect:</Color> Wind damage over time<br><Color(52258)>Potency:</Color> 50<br><Color(52258)>Duration:</Color> 18s
